EmpID,Name,Age,Department,JobRole,EducationField,Attrition,YearsAtCompany,WorkLifeBalance,EmployeeStatus,JoiningDate,ManagerName,Location,PhoneNumber,email,MonthlyIncome
19,Employee_19,20,Research & Development,Research Scientist,Life Sciences,No,1,4,Resigned,5/16/2014,Alice Johnson,Austin,-867,user19@example.com,97969
20,Employee_20,20,Research & Development,Research Scientist,Medical,Yes,1,3,Active,3/30/2015,Charlie Davis,Chicago,-929,user20@example.com,35311
21,Employee_21,20,Sales,Sales Representative,Medical,Yes,2,2,Active,10/2/2016,Charlie Davis,Austin,-925,user21@example.com,113104
22,Employee_22,20,Research & Development,Laboratory Technician,Technical Degree,Yes,1,3,On Leave,6/30/2017,Alice Johnson,San Francisco,-886,user22@example.com,83707
23,Employee_23,20,Research & Development,Research Scientist,Medical,Yes,1,3,On Leave,4/29/2012,Charlie Davis,New York,-898,user23@example.com,115305
24,Employee_24,20,Sales,Sales Representative,Marketing,Yes,2,3,Active,10/11/2015,Diana Green,Chicago,-941,user24@example.com,58693
25,Employee_25,20,Research & Development,Laboratory Technician,Life Sciences,No,2,2,Resigned,1/3/2010,Alice Johnson,Austin,-923,user25@example.com,101932
26,Employee_26,20,Sales,Sales Representative,Marketing,No,2,3,Active,8/26/2021,Bob Smith,Austin,-887,user26@example.com,55658
27,Employee_27,20,Sales,Sales Representative,Medical,No,2,3,Active,2/21/2021,Diana Green,Austin,-954,user27@example.com,114478
28,Employee_28,20,Sales,Sales Representative,Life Sciences,No,2,3,Resigned,6/11/2012,Alice Johnson,San Francisco,-914,user28@example.com,48431
29,Employee_29,21,Research & Development,Research Scientist,Life Sciences,No,0,3,Resigned,7/24/2015,Bob Smith,Chicago,-924,user29@example.com,32747
30,Employee_30,21,Research & Development,Research Scientist,Medical,No,3,4,Resigned,8/27/2018,Charlie Davis,San Francisco,-907,user30@example.com,89150
31,Employee_31,21,Sales,Sales Representative,Technical Degree,Yes,3,3,Resigned,7/4/2016,Bob Smith,Chicago,-925,user31@example.com,95725
32,Employee_32,21,Sales,Sales Representative,Medical,No,3,2,Active,10/20/2022,Diana Green,New York,-945,user32@example.com,114654
33,Employee_33,21,Sales,Sales Representative,Life Sciences,Yes,1,3,Active,4/18/2015,Charlie Davis,San Francisco,-880,user33@example.com,65773
34,Employee_34,21,Sales,Sales Representative,Technical Degree,No,3,3,On Leave,10/12/2013,Alice Johnson,San Francisco,-927,user34@example.com,97435
35,Employee_35,21,Research & Development,Research Scientist,Other,Yes,1,2,Active,1/30/2020,Charlie Davis,New York,-927,user35@example.com,86886
36,Employee_36,21,Research & Development,Laboratory Technician,Life Sciences,Yes,1,2,Resigned,7/14/2013,Alice Johnson,Chicago,-912,user36@example.com,96803
37,Employee_37,21,Research & Development,Research Scientist,Technical Degree,No,2,4,On Leave,6/29/2014,Alice Johnson,Austin,-927,user37@example.com,61551
38,Employee_38,21,Research & Development,Laboratory Technician,Life Sciences,Yes,2,1,Resigned,5/6/2017,Bob Smith,New York,-916,user38@example.com,41394
39,Employee_39,21,Research & Development,Research Scientist,Medical,No,2,3,Active,9/14/2012,Bob Smith,Austin,-920,user39@example.com,99092
40,Employee_40,21,Sales,Sales Representative,Marketing,Yes,1,3,On Leave,5/3/2013,Bob Smith,Austin,-929,user40@example.com,33890
41,Employee_41,21,Sales,Sales Representative,Medical,No,2,3,Resigned,9/17/2013,Diana Green,New York,-868,user41@example.com,71606
42,Employee_42,22,Research & Development,Laboratory Technician,Medical,No,1,2,On Leave,9/5/2021,Diana Green,Chicago,-916,user42@example.com,110038
43,Employee_43,22,Research & Development,Laboratory Technician,Medical,No,0,3,On Leave,8/22/2022,Bob Smith,Austin,-872,user43@example.com,117313
44,Employee_44,22,Research & Development,Laboratory Technician,Technical Degree,No,2,3,Active,4/28/2021,Diana Green,New York,-886,user44@example.com,40627
45,Employee_45,22,Research & Development,Research Scientist,Medical,No,2,3,Resigned,4/10/2014,Charlie Davis,San Francisco,-938,user45@example.com,38792
46,Employee_46,22,Research & Development,Research Scientist,Life Sciences,No,4,2,On Leave,11/19/2013,Charlie Davis,San Francisco,-904,user46@example.com,103969
47,Employee_47,22,Research & Development,Research Scientist,Medical,No,2,3,On Leave,8/12/2012,Diana Green,San Francisco,-883,user47@example.com,73001
48,Employee_48,22,Research & Development,Laboratory Technician,Technical Degree,Yes,2,3,Resigned,9/10/2012,Diana Green,New York,-869,user48@example.com,106552
49,Employee_49,22,Research & Development,Research Scientist,Medical,No,2,3,On Leave,9/1/2012,Charlie Davis,San Francisco,-954,user49@example.com,53897
50,Employee_50,22,Research & Development,Manufacturing Director,Life Sciences,No,2,1,On Leave,4/26/2021,Alice Johnson,Austin,-925,user50@example.com,98148
51,Employee_51,22,Research & Development,Manufacturing Director,Life Sciences,Yes,3,4,On Leave,11/16/2020,Charlie Davis,San Francisco,-879,user51@example.com,53483
52,Employee_52,22,Research & Development,Laboratory Technician,Life Sciences,No,4,2,Resigned,7/2/2012,Charlie Davis,San Francisco,-874,user52@example.com,78555
53,Employee_53,22,Research & Development,Research Scientist,Life Sciences,Yes,0,3,Resigned,6/16/2022,Diana Green,Austin,-918,user53@example.com,47159
54,Employee_54,22,Research & Development,Research Scientist,Other,No,4,2,Resigned,2/6/2010,Charlie Davis,San Francisco,-867,user54@example.com,110077
55,Employee_55,22,Research & Development,Laboratory Technician,Medical,Yes,1,3,Resigned,4/11/2019,Diana Green,Austin,-949,user55@example.com,65920
56,Employee_56,22,Research & Development,Research Scientist,Life Sciences,Yes,1,3,Active,9/8/2014,Diana Green,San Francisco,-925,user56@example.com,97121
57,Employee_57,22,Research & Development,Research Scientist,Life Sciences,No,3,4,On Leave,4/9/2018,Bob Smith,Austin,-936,user57@example.com,99479
58,Employee_58,23,Sales,Sales Representative,Technical Degree,No,0,3,Resigned,3/6/2012,Charlie Davis,San Francisco,-909,user58@example.com,119475
59,Employee_59,23,Research & Development,Research Scientist,Life Sciences,No,4,2,On Leave,1/19/2021,Alice Johnson,Austin,-873,user59@example.com,49457
60,Employee_60,23,Research & Development,Research Scientist,Medical,No,3,4,On Leave,11/2/2022,Bob Smith,New York,-912,user60@example.com,96557
61,Employee_61,23,Research & Development,Laboratory Technician,Medical,No,4,4,Active,7/9/2018,Diana Green,Austin,-900,user61@example.com,107189
62,Employee_62,23,Research & Development,Research Scientist,Medical,No,2,3,Resigned,8/17/2013,Diana Green,San Francisco,-943,user62@example.com,108953
63,Employee_63,23,Research & Development,Laboratory Technician,Life Sciences,Yes,0,3,Resigned,11/14/2010,Alice Johnson,San Francisco,-946,user63@example.com,82995
64,Employee_64,23,Research & Development,Research Scientist,Life Sciences,No,1,3,On Leave,7/24/2016,Diana Green,Chicago,-901,user64@example.com,70757
65,Employee_65,23,Research & Development,Laboratory Technician,Life Sciences,No,4,3,Resigned,12/3/2015,Charlie Davis,Austin,-915,user65@example.com,39692
66,Employee_66,23,Research & Development,Research Scientist,Technical Degree,No,2,3,On Leave,7/8/2017,Bob Smith,New York,-869,user66@example.com,75758
67,Employee_67,23,Research & Development,Laboratory Technician,Medical,Yes,5,3,On Leave,5/11/2014,Diana Green,Austin,-867,user67@example.com,102409
68,Employee_68,23,Sales,Sales Representative,Life Sciences,Yes,3,3,Active,7/9/2018,Diana Green,Austin,-871,user68@example.com,101211
69,Employee_69,23,Research & Development,Laboratory Technician,Medical,No,3,1,Active,10/5/2020,Alice Johnson,New York,-919,user69@example.com,95697
70,Employee_70,23,Research & Development,Laboratory Technician,Other,No,5,4,Active,6/20/2015,Charlie Davis,Austin,-869,user70@example.com,67065
71,Employee_71,23,Sales,Sales Representative,Marketing,Yes,1,2,On Leave,8/5/2013,Diana Green,New York,-919,user71@example.com,62606
72,Employee_72,24,Research & Development,Manufacturing Director,Other,No,4,2,Resigned,7/9/2013,Alice Johnson,New York,-928,user72@example.com,41534
73,Employee_73,24,Research & Development,Research Scientist,Medical,Yes,2,2,Active,10/21/2021,Diana Green,Austin,-883,user73@example.com,70397
74,Employee_74,24,Sales,Sales Executive,Other,No,3,2,Resigned,7/11/2016,Alice Johnson,Austin,-909,user74@example.com,31016
75,Employee_75,24,Research & Development,Laboratory Technician,Life Sciences,No,5,3,Active,11/14/2018,Alice Johnson,San Francisco,-899,user75@example.com,119789
76,Employee_76,24,Sales,Sales Executive,Marketing,No,5,4,Active,11/10/2015,Charlie Davis,San Francisco,-939,user76@example.com,85591
77,Employee_77,24,Sales,Sales Representative,Technical Degree,Yes,5,3,On Leave,9/1/2014,Diana Green,Chicago,-927,user77@example.com,119812
78,Employee_78,24,Sales,Sales Representative,Medical,No,2,3,Active,12/29/2010,Charlie Davis,Chicago,-879,user78@example.com,53247
79,Employee_79,24,Research & Development,Research Scientist,Medical,No,6,3,Active,2/17/2017,Alice Johnson,Austin,-913,user79@example.com,54300
80,Employee_80,24,Research & Development,Laboratory Technician,Other,No,1,3,On Leave,9/13/2014,Bob Smith,New York,-880,user80@example.com,104065
81,Employee_81,24,Research & Development,Laboratory Technician,Life Sciences,Yes,6,3,Resigned,3/10/2022,Diana Green,Chicago,-937,user81@example.com,112798
82,Employee_82,24,Sales,Sales Executive,Life Sciences,Yes,2,3,Active,9/26/2021,Bob Smith,Austin,-943,user82@example.com,39268
83,Employee_83,24,Research & Development,Laboratory Technician,Life Sciences,No,1,3,On Leave,3/27/2020,Diana Green,Chicago,-952,user83@example.com,116807
84,Employee_84,24,Research & Development,Laboratory Technician,Life Sciences,No,5,2,Active,10/5/2016,Charlie Davis,New York,-927,user84@example.com,42185
85,Employee_85,24,Research & Development,Manufacturing Director,Medical,No,4,3,On Leave,7/11/2011,Charlie Davis,Austin,-905,user85@example.com,93704
86,Employee_86,24,Research & Development,Laboratory Technician,Medical,No,4,3,Resigned,4/5/2012,Charlie Davis,New York,-950,user86@example.com,116779
87,Employee_87,24,Research & Development,Laboratory Technician,Life Sciences,Yes,1,1,Resigned,9/9/2017,Charlie Davis,Austin,-945,user87@example.com,69099
88,Employee_88,24,Sales,Sales Executive,Medical,No,5,3,On Leave,5/19/2022,Charlie Davis,Chicago,-947,user88@example.com,38571
89,Employee_89,24,Research & Development,Laboratory Technician,Medical,Yes,0,2,On Leave,6/12/2017,Bob Smith,San Francisco,-918,user89@example.com,68044
90,Employee_90,24,Sales,Sales Representative,Life Sciences,No,1,3,On Leave,8/10/2019,Charlie Davis,Chicago,-889,user90@example.com,81214
91,Employee_91,24,Research & Development,Laboratory Technician,Technical Degree,No,1,3,Resigned,3/30/2020,Alice Johnson,Chicago,-891,user91@example.com,91228
92,Employee_92,24,Research & Development,Research Scientist,Technical Degree,No,6,3,Active,4/24/2014,Alice Johnson,San Francisco,-954,user92@example.com,78984
93,Employee_93,24,Research & Development,Research Scientist,Medical,No,5,3,Resigned,12/12/2020,Bob Smith,San Francisco,-925,user93@example.com,70774
94,Employee_94,24,Human Resources,Human Resources,Human Resources,Yes,1,3,On Leave,10/31/2015,Diana Green,Austin,-906,user94@example.com,32568
95,Employee_95,24,Research & Development,Laboratory Technician,Medical,No,6,4,On Leave,7/31/2016,Alice Johnson,Austin,-894,user95@example.com,92592
96,Employee_96,24,Human Resources,Human Resources,Medical,No,2,3,Resigned,2/12/2019,Diana Green,New York,-880,user96@example.com,97563
97,Employee_97,24,Research & Development,Healthcare Representative,Life Sciences,No,4,2,On Leave,8/12/2011,Bob Smith,New York,-910,user97@example.com,32695
98,Employee_98,25,Sales,Sales Executive,Marketing,Yes,6,3,Resigned,7/6/2015,Diana Green,Chicago,-930,user98@example.com,78190
99,Employee_99,25,Research & Development,Research Scientist,Medical,No,2,3,On Leave,3/28/2014,Diana Green,San Francisco,-954,user99@example.com,35258
100,Employee_100,25,Sales,Sales Executive,Life Sciences,No,2,3,Active,10/22/2010,Diana Green,New York,-936,user100@example.com,117538
101,Employee_101,25,Research & Development,Manufacturing Director,Life Sciences,No,4,3,Active,6/9/2015,Diana Green,Chicago,-874,user101@example.com,69504
102,Employee_102,25,Research & Development,Healthcare Representative,Life Sciences,No,6,3,On Leave,7/15/2018,Bob Smith,San Francisco,-953,user102@example.com,63159
103,Employee_103,25,Sales,Sales Executive,Life Sciences,No,5,3,Resigned,8/18/2014,Alice Johnson,Austin,-866,user103@example.com,43986
104,Employee_104,25,Research & Development,Laboratory Technician,Medical,Yes,2,3,Active,2/10/2013,Charlie Davis,Chicago,-873,user104@example.com,91858
105,Employee_105,25,Sales,Sales Representative,Medical,No,7,3,Resigned,8/27/2015,Diana Green,Austin,-953,user105@example.com,42666
106,Employee_106,25,Sales,Sales Executive,Life Sciences,No,3,3,On Leave,3/14/2022,Alice Johnson,New York,-928,user106@example.com,68660
107,Employee_107,25,Sales,Sales Executive,Medical,No,6,2,Resigned,6/10/2022,Alice Johnson,New York,-876,user107@example.com,33561
108,Employee_108,25,Research & Development,Research Scientist,Medical,No,4,2,Active,10/4/2012,Bob Smith,San Francisco,-946,user108@example.com,56854
109,Employee_109,25,Sales,Sales Executive,Other,No,5,3,Resigned,11/19/2016,Alice Johnson,Chicago,-873,user109@example.com,94505
110,Employee_110,25,Sales,Sales Executive,Marketing,No,5,4,Resigned,8/28/2019,Bob Smith,Austin,-900,user110@example.com,82251
111,Employee_111,25,Sales,Sales Representative,Marketing,Yes,1,3,On Leave,10/26/2022,Diana Green,San Francisco,-900,user111@example.com,52662
112,Employee_112,25,Research & Development,Laboratory Technician,Technical Degree,Yes,7,4,On Leave,6/1/2013,Diana Green,New York,-898,user112@example.com,38392
113,Employee_113,25,Sales,Sales Executive,Life Sciences,No,4,3,On Leave,9/7/2020,Charlie Davis,New York,-870,user113@example.com,60535
114,Employee_114,25,Sales,Sales Representative,Life Sciences,Yes,1,3,Active,12/6/2013,Charlie Davis,Chicago,-906,user114@example.com,108603
115,Employee_115,25,Research & Development,Research Scientist,Medical,No,2,2,Active,7/26/2011,Charlie Davis,Austin,-893,user115@example.com,82256
116,Employee_116,25,Research & Development,Laboratory Technician,Medical,No,3,2,On Leave,7/10/2016,Alice Johnson,Chicago,-872,user116@example.com,119135
117,Employee_117,25,Sales,Sales Executive,Life Sciences,No,3,2,On Leave,5/30/2013,Diana Green,Austin,-938,user117@example.com,65222
118,Employee_118,25,Research & Development,Laboratory Technician,Technical Degree,No,3,2,Active,9/16/2015,Bob Smith,Austin,-937,user118@example.com,107373
119,Employee_119,25,Sales,Sales Representative,Life Sciences,Yes,3,3,Active,10/5/2010,Charlie Davis,Chicago,-877,user119@example.com,109575
120,Employee_120,25,Research & Development,Manufacturing Director,Life Sciences,No,7,3,Active,3/3/2015,Bob Smith,San Francisco,-899,user120@example.com,114651
121,Employee_121,25,Human Resources,Human Resources,Human Resources,No,2,3,Active,7/16/2022,Bob Smith,Chicago,-898,user121@example.com,93335
122,Employee_122,25,Research & Development,Laboratory Technician,Other,No,2,2,On Leave,6/19/2013,Charlie Davis,Chicago,-913,user122@example.com,40965
123,Employee_123,25,Sales,Sales Executive,Other,No,5,2,Active,11/6/2012,Diana Green,New York,-888,user123@example.com,54538
124,Employee_124,26,Research & Development,Laboratory Technician,Life Sciences,Yes,1,2,On Leave,7/6/2012,Charlie Davis,New York,-927,user124@example.com,100592
125,Employee_125,26,Sales,Sales Executive,Marketing,No,2,2,Resigned,6/4/2012,Bob Smith,Chicago,-953,user125@example.com,38110
126,Employee_126,26,Research & Development,Research Scientist,Other,No,5,2,Resigned,7/15/2017,Charlie Davis,Chicago,-902,user126@example.com,109309
127,Employee_127,26,Human Resources,Human Resources,Life Sciences,No,8,3,Active,1/22/2010,Bob Smith,New York,-909,user127@example.com,57266
128,Employee_128,26,Research & Development,Manufacturing Director,Life Sciences,No,6,1,Resigned,7/6/2022,Bob Smith,Austin,-951,user128@example.com,82992
129,Employee_129,26,Research & Development,Healthcare Representative,Medical,No,5,3,Resigned,9/27/2018,Charlie Davis,Chicago,-900,user129@example.com,112948
130,Employee_130,26,Research & Development,Laboratory Technician,Medical,Yes,3,3,Resigned,6/11/2016,Alice Johnson,San Francisco,-930,user130@example.com,36910
131,Employee_131,26,Sales,Sales Executive,Marketing,Yes,8,3,Active,11/18/2011,Charlie Davis,San Francisco,-912,user131@example.com,30206
132,Employee_132,26,Sales,Sales Executive,Life Sciences,No,8,3,Active,10/12/2010,Alice Johnson,San Francisco,-943,user132@example.com,117054
133,Employee_133,26,Research & Development,Research Scientist,Technical Degree,Yes,6,3,Resigned,4/5/2020,Bob Smith,Chicago,-868,user133@example.com,117897
134,Employee_134,26,Research & Development,Research Scientist,Life Sciences,No,3,1,On Leave,2/2/2012,Bob Smith,Austin,-866,user134@example.com,53419
135,Employee_135,26,Human Resources,Human Resources,Life Sciences,Yes,7,2,Resigned,8/25/2016,Alice Johnson,Austin,-870,user135@example.com,80636
136,Employee_136,26,Sales,Sales Executive,Medical,No,0,3,Active,11/12/2016,Bob Smith,New York,-879,user136@example.com,80015
137,Employee_137,26,Research & Development,Laboratory Technician,Technical Degree,Yes,1,1,Active,1/29/2010,Alice Johnson,Chicago,-892,user137@example.com,84268
138,Employee_138,26,Sales,Sales Executive,Marketing,No,5,4,Active,6/25/2012,Alice Johnson,Austin,-874,user138@example.com,117939
139,Employee_139,26,Research & Development,Laboratory Technician,Life Sciences,No,3,3,Resigned,7/2/2018,Bob Smith,Chicago,-944,user139@example.com,48141
140,Employee_140,26,Research & Development,Laboratory Technician,Life Sciences,No,2,3,On Leave,12/13/2020,Diana Green,New York,-880,user140@example.com,110356
141,Employee_141,26,Sales,Sales Executive,Technical Degree,Yes,4,2,Active,3/14/2018,Alice Johnson,New York,-907,user141@example.com,101910
142,Employee_142,26,Research & Development,Research Scientist,Medical,Yes,8,3,Active,11/11/2016,Charlie Davis,New York,-942,user142@example.com,86044
143,Employee_143,26,Sales,Sales Executive,Medical,No,7,3,Resigned,10/10/2022,Charlie Davis,San Francisco,-916,user143@example.com,97214
144,Employee_144,26,Research & Development,Manufacturing Director,Medical,No,8,3,On Leave,11/19/2019,Bob Smith,Chicago,-928,user144@example.com,63827
145,Employee_145,26,Sales,Sales Executive,Medical,Yes,2,3,Resigned,9/24/2019,Diana Green,New York,-917,user145@example.com,85820
146,Employee_146,26,Research & Development,Research Scientist,Life Sciences,Yes,3,3,Active,12/24/2013,Bob Smith,Chicago,-869,user146@example.com,92623
147,Employee_147,26,Research & Development,Research Scientist,Medical,No,5,3,On Leave,3/11/2019,Diana Green,San Francisco,-888,user147@example.com,111734
148,Employee_148,26,Research & Development,Laboratory Technician,Medical,No,5,3,On Leave,5/31/2011,Alice Johnson,San Francisco,-880,user148@example.com,105450
149,Employee_149,26,Research & Development,Laboratory Technician,Medical,Yes,1,2,Active,2/8/2010,Alice Johnson,New York,-908,user149@example.com,52299
150,Employee_150,26,Research & Development,Laboratory Technician,Medical,No,8,3,On Leave,2/25/2019,Alice Johnson,New York,-894,user150@example.com,73585
151,Employee_151,26,Research & Development,Research Scientist,Life Sciences,No,8,2,On Leave,6/5/2012,Alice Johnson,Austin,-901,user151@example.com,94044
152,Employee_152,26,Research & Development,Research Scientist,Medical,No,4,3,Resigned,10/15/2017,Charlie Davis,Chicago,-878,user152@example.com,72557
153,Employee_153,26,Research & Development,Laboratory Technician,Other,No,7,3,Active,1/14/2016,Charlie Davis,New York,-897,user153@example.com,79080
154,Employee_154,26,Research & Development,Research Scientist,Life Sciences,No,1,3,Active,1/3/2013,Bob Smith,Austin,-936,user154@example.com,32693
155,Employee_155,26,Research & Development,Laboratory Technician,Medical,No,7,3,Active,12/29/2014,Diana Green,Chicago,-924,user155@example.com,99163
156,Employee_156,26,Research & Development,Laboratory Technician,Medical,No,3,4,Active,10/7/2018,Alice Johnson,New York,-951,user156@example.com,55939
157,Employee_157,26,Human Resources,Human Resources,Medical,Yes,5,3,Active,8/22/2018,Alice Johnson,Austin,-893,user157@example.com,78925
158,Employee_158,26,Sales,Sales Executive,Medical,No,5,3,On Leave,6/21/2018,Diana Green,Austin,-931,user158@example.com,72941
159,Employee_159,26,Research & Development,Research Scientist,Life Sciences,No,1,2,Resigned,9/1/2019,Diana Green,Chicago,-907,user159@example.com,51834
160,Employee_160,26,Research & Development,Laboratory Technician,Other,No,7,3,Active,5/6/2020,Bob Smith,Austin,-910,user160@example.com,48047
161,Employee_161,26,Research & Development,Laboratory Technician,Medical,No,7,2,Resigned,12/6/2017,Diana Green,Chicago,-927,user161@example.com,56105
162,Employee_162,26,Sales,Sales Representative,Other,No,4,3,Resigned,6/16/2019,Alice Johnson,Chicago,-922,user162@example.com,105766
163,Employee_163,26,Sales,Sales Representative,Other,No,4,3,On Leave,8/13/2019,Alice Johnson,Chicago,-871,user163@example.com,45707
164,Employee_164,27,Research & Development,Laboratory Technician,Medical,No,2,3,Active,9/15/2012,Alice Johnson,San Francisco,-893,user164@example.com,51976
165,Employee_165,27,Research & Development,Laboratory Technician,Life Sciences,No,1,3,On Leave,4/9/2021,Alice Johnson,Austin,-893,user165@example.com,74262
166,Employee_166,27,Sales,Sales Executive,Life Sciences,No,9,3,Active,1/9/2021,Alice Johnson,Chicago,-909,user166@example.com,53776
167,Employee_167,27,Research & Development,Research Scientist,Medical,No,2,1,On Leave,6/11/2021,Bob Smith,New York,-949,user167@example.com,60080
168,Employee_168,27,Research & Development,Research Scientist,Medical,No,1,2,Resigned,8/10/2014,Alice Johnson,San Francisco,-895,user168@example.com,96842
169,Employee_169,27,Research & Development,Research Scientist,Technical Degree,No,5,2,Active,10/10/2022,Bob Smith,San Francisco,-927,user169@example.com,91373
170,Employee_170,27,Research & Development,Research Scientist,Medical,No,7,2,Resigned,11/7/2020,Alice Johnson,Austin,-940,user170@example.com,36776
171,Employee_171,27,Research & Development,Manufacturing Director,Technical Degree,No,2,3,Resigned,7/22/2012,Charlie Davis,Chicago,-954,user171@example.com,85016
172,Employee_172,27,Sales,Sales Executive,Life Sciences,No,7,3,On Leave,11/8/2019,Charlie Davis,Austin,-927,user172@example.com,39474
173,Employee_173,27,Research & Development,Research Scientist,Life Sciences,No,4,2,Active,11/8/2018,Charlie Davis,San Francisco,-866,user173@example.com,88053
174,Employee_174,27,Sales,Sales Executive,Life Sciences,No,5,3,Resigned,6/4/2015,Charlie Davis,Chicago,-892,user174@example.com,51959
175,Employee_175,27,Sales,Sales Executive,Marketing,No,5,3,On Leave,1/30/2015,Bob Smith,New York,-927,user175@example.com,35530
176,Employee_176,27,Sales,Sales Executive,Marketing,No,8,3,Active,5/15/2018,Bob Smith,Chicago,-942,user176@example.com,33748
177,Employee_177,27,Research & Development,Laboratory Technician,Medical,No,5,3,Active,3/3/2012,Diana Green,San Francisco,-868,user177@example.com,43545
178,Employee_178,27,Research & Development,Research Scientist,Medical,No,5,2,Resigned,3/2/2012,Alice Johnson,New York,-935,user178@example.com,96199
179,Employee_179,27,Sales,Sales Representative,Marketing,Yes,4,3,Active,12/15/2014,Charlie Davis,Chicago,-937,user179@example.com,64766
180,Employee_180,27,Research & Development,Research Scientist,Medical,No,4,3,Resigned,3/5/2016,Bob Smith,New York,-892,user180@example.com,103530
181,Employee_181,27,Sales,Sales Executive,Medical,No,6,3,Active,11/20/2019,Alice Johnson,New York,-874,user181@example.com,91087
182,Employee_182,27,Research & Development,Manufacturing Director,Life Sciences,No,9,3,On Leave,5/27/2014,Alice Johnson,San Francisco,-927,user182@example.com,98840
183,Employee_183,27,Research & Development,Manufacturing Director,Life Sciences,No,9,2,Resigned,9/11/2012,Bob Smith,New York,-902,user183@example.com,84384
184,Employee_184,27,Research & Development,Healthcare Representative,Medical,No,7,1,Resigned,1/25/2020,Charlie Davis,Austin,-916,user184@example.com,81005
185,Employee_185,27,Sales,Sales Executive,Marketing,No,4,3,Active,4/4/2019,Diana Green,San Francisco,-909,user185@example.com,76576
186,Employee_186,27,Research & Development,Research Director,Technical Degree,No,9,3,Active,6/4/2011,Alice Johnson,Austin,-889,user186@example.com,69353
187,Employee_187,27,Research & Development,Research Scientist,Medical,No,0,2,Resigned,8/14/2011,Diana Green,New York,-944,user187@example.com,92003
188,Employee_188,27,Research & Development,Research Scientist,Life Sciences,No,1,3,Active,11/16/2012,Charlie Davis,Austin,-924,user188@example.com,113211
189,Employee_189,27,Research & Development,Laboratory Technician,Technical Degree,No,2,3,On Leave,12/13/2019,Charlie Davis,Chicago,-897,user189@example.com,82733
190,Employee_190,27,Research & Development,Manufacturing Director,Life Sciences,No,3,3,Active,3/3/2022,Diana Green,New York,-953,user190@example.com,95318
191,Employee_191,27,Research & Development,Laboratory Technician,Life Sciences,No,3,3,On Leave,8/17/2012,Charlie Davis,Chicago,-917,user191@example.com,119474
192,Employee_192,27,Research & Development,Research Scientist,Life Sciences,No,4,3,On Leave,11/24/2011,Alice Johnson,Austin,-927,user192@example.com,53664
193,Employee_193,27,Research & Development,Research Scientist,Life Sciences,No,9,2,On Leave,9/4/2020,Diana Green,Chicago,-923,user193@example.com,97172
